run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
descending,segmented_descending_20260717_141821,17,190.0,190.0,False,327,337.5511482079511,174.11013528433892,190.36114644110177,-15.889864715661083,0.11890465400690725,0.3611464411017637,0.009405718833812384,0.11890465400690725,0.009405718833812384
descending,segmented_descending_20260717_141821,18,180.0,180.0,False,327,356.7895494691131,162.82229238927684,180.00053580357505,-17.177707610723168,0.108929376956187,0.0005358035750580834,0.008840038241317377,0.108929376956187,0.008840038241317377
descending,segmented_descending_20260717_141821,19,170.0,170.0,False,326,376.3201326638037,152.43084941161888,170.55040736140057,-17.569150588381124,0.12049065638129779,0.5504073614005756,0.010474980188138043,0.12049065638129779,0.010474980188138043
descending,segmented_descending_20260717_141821,20,160.0,160.0,False,328,396.0623863457317,141.30889900959355,160.37997336668116,-18.69110099040645,0.12879744873013246,0.3799733666811468,0.01828318762774714,0.12879744873013246,0.01828318762774714
descending,segmented_descending_20260717_141821,21,150.0,150.0,False,327,415.1994466351682,130.640226552583,150.63364884149104,-19.359773447417,0.11257758681309292,0.633648841491051,0.005193977642112537,0.11257758681309292,0.005193977642112537
descending,segmented_descending_20260717_141821,22,140.0,140.0,False,301,436.17816692624586,119.4297251573115,140.4342577724694,-20.570274842688505,0.1291926081609815,0.4342577724693964,0.023360659731410563,0.1291926081609812,0.023360659731410563
descending,segmented_descending_20260717_141821,23,130.0,130.0,False,331,458.02164302719035,108.04992826706857,130.10724980073118,-21.95007173293144,0.12606072802380833,0.10724980073119171,0.01977507487623459,0.12606072802380816,0.01977507487623459
descending,segmented_descending_20260717_141821,24,120.0,120.0,False,248,478.5363519919355,96.70736410858393,119.75343203794957,-23.292635891416065,0.1402771832101459,-0.2465679620504414,0.02590756274908398,0.14027718321014648,0.02590756274908309
descending,segmented_descending_20260717_141821,25,110.0,110.0,False,328,498.0654945039634,85.22099047502593,109.20830350336523,-24.779009524974068,0.12121760971329054,-0.7916964966347659,0.010113795987101666,0.12121760971329032,0.010113795987101975
descending,segmented_descending_20260717_141821,26,100.0,100.0,False,327,517.8099293143731,74.79882068814376,99.73775524752864,-25.20117931185624,0.11923380317744767,-0.26224475247136053,0.00877907975690104,0.11923380317744767,0.008779079756900579
descending,segmented_descending_20260717_141821,27,90.0,90.0,False,326,541.34247165,63.55299652785695,89.62612784606814,-26.447003472143056,0.12048859642299174,-0.3738721539318599,0.010137516650487887,0.12048859642299169,0.010137516650488043
descending,segmented_descending_20260717_141821,28,80.0,80.0,False,328,561.6573851161586,53.06138615651286,80.11363433683509,-26.93861384348714,0.11379474194235087,0.11363433683509454,0.006003172988565429,0.1137947419423505,0.006003172988564874
descending,segmented_descending_20260717_141821,29,70.0,70.0,False,328,581.8008696445122,42.00500353605359,70.02810622659754,-27.994996463946404,0.12144901844164616,0.028106226597544363,0.011509828876731841,0.12144901844164717,0.011509828876731612
descending,segmented_descending_20260717_141821,30,60.0,60.0,False,327,602.6789687850153,30.978121172388686,60.007484556651356,-29.021878827611314,0.1160165070736777,0.007484556651357879,0.00706884324503884,0.11601650707367711,0.007068843245038589
descending,segmented_descending_20260717_141821,31,50.0,50.0,False,327,621.9585230070336,19.841418476743314,49.79999756572499,-30.158581523256686,0.11772340378336567,-0.20000243427500464,0.008642414646548871,0.11772340378336633,0.00864241464654927
descending,segmented_descending_20260717_141821,32,40.0,40.0,False,326,640.6605220180982,8.879822579454242,39.739780973714346,-31.120177420545758,0.12065780273588832,-0.26021902628565646,0.011468444614397864,0.12065780273588779,0.01146844461439758
descending,segmented_descending_20260717_141821,33,30.0,30.0,False,327,659.9517350513761,358.21004072966133,29.999776747780054,-31.789959270338684,0.10887515032476906,-0.00022325221994532477,0.008188959194274087,0.10887515032476906,0.008188959194274087
descending,segmented_descending_20260717_141821,34,20.0,20.0,False,328,679.3465995829268,347.07310669454273,19.797616022566736,-32.92689330545729,0.11024793745814411,-0.20238397743326414,0.006582543360531596,0.11024793745814411,0.006582543360531596
descending,segmented_descending_20260717_141821,35,10.0,10.0,False,329,697.9139414772036,336.5586532094777,10.178051780498091,-33.44134679052229,0.12353833235453837,0.17805178049809145,0.012863759359083708,0.12353833235453837,0.012863759359083708
descending,segmented_descending_20260717_141821,36,0.0,0.0,True,327,720.1000631009174,324.9223987155228,359.61110067406736,-35.07760128447721,0.1234540946239152,-0.38889932593262017,0.013210780598355882,0.1234540946239152,0.01321078059835511
randomized,segmented_randomized_20260717_143439,0,280.0,280.0,False,326,3.988377741411043,278.80994538407225,280.8088565488888,-1.1900546159277345,0.10760869849018351,0.8088565488887739,0.018063625714609486,0.10760869849018351,0.018063625714609486
randomized,segmented_randomized_20260717_143439,1,140.0,140.0,False,257,30.604342063424124,137.22277149448357,140.65508778889517,-2.7772285055164443,0.10565802075848471,0.6550877888951873,0.03055316518556347,0.10565802075848471,0.03055316518556347
randomized,segmented_randomized_20260717_143439,2,350.0,350.0,False,328,56.37890485823171,345.89034331300013,350.71075098280454,-4.109656686999895,0.12097344200330155,0.7107509828045386,0.012507487403330745,0.12097344200330155,0.012507487403330745
randomized,segmented_randomized_20260717_143439,3,300.0,300.0,False,326,93.50674892914111,294.29285144752197,301.11278246722935,-5.707148552478027,0.1157097634244752,1.1127824672293753,0.009406938436051646,0.1157097634244752,0.009406938436051646
randomized,segmented_randomized_20260717_143439,4,180.0,180.0,False,327,116.12303390152906,171.61211376950817,179.65004683113273,-8.387886230491834,0.12191938411787483,-0.34995316886727795,0.0072997586680389765,0.12191938411787483,0.0072997586680389765
randomized,segmented_randomized_20260717_143439,5,70.0,70.0,False,328,143.94778991189025,60.75761931748394,70.29405709276254,-9.24238068251606,0.1257378497981075,0.2940570927625416,0.00525684802212562,0.1257378497981067,0.005256848022125472
