trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,ideal_stoi_vs_ideal_output_mean,ideal_stoi_vs_ideal_output_sd,ideal_stoi_vs_ideal_output_median,stoi_vs_ideal_output_mean,stoi_vs_ideal_output_sd,stoi_vs_ideal_output_median,stoi_loss_vs_ideal_output_mean,stoi_loss_vs_ideal_output_sd,stoi_loss_vs_ideal_output_median
120_deg_s,120.0,30.0,0.0,20.0,2.4,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.6283956656162241,0.047794198735652015,0.6264450024866812,0.37160433438377594,0.047794198735652015,0.37355499751331883
120_deg_s,120.0,30.0,0.0,20.0,2.4,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.6727921785077602,0.048043750224759575,0.6742796407904091,0.32720782149223976,0.048043750224759575,0.32572035920959086
120_deg_s,120.0,30.0,0.0,20.0,2.4,20.0,20,0.1,100,1.0,0.0,1.0,0.7122832896797422,0.057339708987232244,0.7140451730180544,0.28771671032025786,0.057339708987232244,0.28595482698194563
120_deg_s,120.0,30.0,0.0,20.0,2.4,inf,inf,0.0,100,1.0,0.0,1.0,0.7236038947253771,0.061395879239841404,0.7208074958479099,0.2763961052746228,0.061395879239841404,0.27919250415209007
120_deg_s,120.0,30.0,0.0,40.0,4.8,0.0,0,1.0,100,1.0,0.0,1.0,0.4135895089107425,0.065250133448544,0.41191344735345936,0.5864104910892576,0.065250133448544,0.5880865526465406
120_deg_s,120.0,30.0,0.0,40.0,4.8,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.48388945218100704,0.06386678152680962,0.48101332854513035,0.5161105478189929,0.06386678152680962,0.5189866714548697
120_deg_s,120.0,30.0,0.0,40.0,4.8,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.5387223426879081,0.07327300185854568,0.53264505792997,0.46127765731209186,0.07327300185854568,0.46735494207003003
120_deg_s,120.0,30.0,0.0,40.0,4.8,20.0,20,0.1,100,1.0,0.0,1.0,0.5842007147371672,0.08840715748668737,0.5649075393096978,0.4157992852628328,0.08840715748668737,0.43509246069030216
120_deg_s,120.0,30.0,0.0,40.0,4.8,inf,inf,0.0,100,1.0,0.0,1.0,0.5968236666990414,0.09314918364720114,0.5716147754777708,0.40317633330095853,0.09314918364720114,0.42838522452222916
120_deg_s,120.0,30.0,0.0,80.0,9.6,0.0,0,1.0,100,1.0,0.0,1.0,0.28073888283884196,0.07693183145462094,0.27378814914778765,0.719261117161158,0.07693183145462093,0.7262118508522124
120_deg_s,120.0,30.0,0.0,80.0,9.6,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.36013795955254213,0.08193984215392114,0.343012528139656,0.6398620404474579,0.08193984215392114,0.6569874718603441
120_deg_s,120.0,30.0,0.0,80.0,9.6,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.4243865722409808,0.1005387440453319,0.4031198735636581,0.5756134277590191,0.1005387440453319,0.5968801264363419
120_deg_s,120.0,30.0,0.0,80.0,9.6,20.0,20,0.1,100,1.0,0.0,1.0,0.4762326500666522,0.12282526709926454,0.4540089460151042,0.5237673499333477,0.12282526709926454,0.5459910539848958
120_deg_s,120.0,30.0,0.0,80.0,9.6,inf,inf,0.0,100,1.0,0.0,1.0,0.4901702803553492,0.12886765497256647,0.4698004264277955,0.5098297196446508,0.12886765497256647,0.5301995735722045
120_deg_s,120.0,30.0,0.0,120.0,14.4,0.0,0,1.0,100,1.0,0.0,1.0,0.20949854108732038,0.08670721392255769,0.20033056742517993,0.7905014589126796,0.08670721392255769,0.79966943257482
120_deg_s,120.0,30.0,0.0,120.0,14.4,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.2896080241832774,0.0977785197405036,0.27786836094557266,0.7103919758167225,0.0977785197405036,0.7221316390544273
120_deg_s,120.0,30.0,0.0,120.0,14.4,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.356371303323398,0.11898237727497017,0.3375365451018194,0.643628696676602,0.11898237727497017,0.6624634548981806
120_deg_s,120.0,30.0,0.0,120.0,14.4,20.0,20,0.1,100,1.0,0.0,1.0,0.41104584120044985,0.14225145403447922,0.3912107002268102,0.5889541587995502,0.14225145403447922,0.6087892997731899
120_deg_s,120.0,30.0,0.0,120.0,14.4,inf,inf,0.0,100,1.0,0.0,1.0,0.4258686663617208,0.14844780811849817,0.3991631666725837,0.5741313336382792,0.14844780811849817,0.6008368333274163
120_deg_s,120.0,30.0,0.0,160.0,19.2,0.0,0,1.0,100,1.0,0.0,1.0,0.19313989649777555,0.08187149635892117,0.18831249539861766,0.8068601035022245,0.08187149635892117,0.8116875046013823
120_deg_s,120.0,30.0,0.0,160.0,19.2,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.2717400407481656,0.09445024629465727,0.2641795698405933,0.7282599592518344,0.09445024629465727,0.7358204301594067
120_deg_s,120.0,30.0,0.0,160.0,19.2,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.3375271387847794,0.11853798219135836,0.3315117569217001,0.6624728612152206,0.11853798219135836,0.6684882430782999
120_deg_s,120.0,30.0,0.0,160.0,19.2,20.0,20,0.1,100,1.0,0.0,1.0,0.3930645092245177,0.14541644736317724,0.3728192568951898,0.6069354907754824,0.14541644736317724,0.6271807431048102
120_deg_s,120.0,30.0,0.0,160.0,19.2,inf,inf,0.0,100,1.0,0.0,1.0,0.40882286804099344,0.15278898440646624,0.38772593597985094,0.5911771319590066,0.15278898440646624,0.612274064020149
120_deg_s,120.0,30.0,0.0,200.0,24.0,0.0,0,1.0,100,1.0,0.0,1.0,0.20025619534188596,0.08449665066845419,0.20642213891961364,0.799743804658114,0.08449665066845419,0.7935778610803863
120_deg_s,120.0,30.0,0.0,200.0,24.0,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.28030320694777816,0.09382640192784021,0.2870212358953642,0.7196967930522219,0.09382640192784023,0.7129787641046358
120_deg_s,120.0,30.0,0.0,200.0,24.0,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.3457980169287766,0.11411565407051377,0.34566713574386065,0.6542019830712233,0.11411565407051377,0.6543328642561393
120_deg_s,120.0,30.0,0.0,200.0,24.0,20.0,20,0.1,100,1.0,0.0,1.0,0.40144634328160717,0.13887973758698208,0.3949393434041786,0.5985536567183929,0.13887973758698208,0.6050606565958214
120_deg_s,120.0,30.0,0.0,200.0,24.0,inf,inf,0.0,100,1.0,0.0,1.0,0.4175396537017882,0.14639064188113576,0.4076627127396444,0.5824603462982119,0.14639064188113576,0.5923372872603556
