trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_230_spk_A_rep02,brir_theta_230_spk_A_rep02,23,230,230,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_240_spk_A_rep01,brir_theta_240_spk_A_rep01,24,240,240,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_240_spk_B_rep01,brir_theta_240_spk_B_rep01,24,240,240,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_240_spk_A_rep02,brir_theta_240_spk_A_rep02,24,240,240,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_240_spk_B_rep02,brir_theta_240_spk_B_rep02,24,240,240,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_250_spk_B_rep01,brir_theta_250_spk_B_rep01,25,250,250,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_250_spk_A_rep01,brir_theta_250_spk_A_rep01,25,250,250,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_250_spk_B_rep02,brir_theta_250_spk_B_rep02,25,250,250,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_250_spk_A_rep02,brir_theta_250_spk_A_rep02,25,250,250,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_260_spk_A_rep01,brir_theta_260_spk_A_rep01,26,260,260,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_260_spk_B_rep01,brir_theta_260_spk_B_rep01,26,260,260,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_260_spk_A_rep02,brir_theta_260_spk_A_rep02,26,260,260,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_260_spk_B_rep02,brir_theta_260_spk_B_rep02,26,260,260,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_270_spk_B_rep01,brir_theta_270_spk_B_rep01,27,270,270,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_270_spk_A_rep01,brir_theta_270_spk_A_rep01,27,270,270,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_270_spk_B_rep02,brir_theta_270_spk_B_rep02,27,270,270,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_270_spk_A_rep02,brir_theta_270_spk_A_rep02,27,270,270,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_280_spk_A_rep01,brir_theta_280_spk_A_rep01,28,280,280,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_280_spk_B_rep01,brir_theta_280_spk_B_rep01,28,280,280,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_280_spk_A_rep02,brir_theta_280_spk_A_rep02,28,280,280,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_280_spk_B_rep02,brir_theta_280_spk_B_rep02,28,280,280,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_290_spk_B_rep01,brir_theta_290_spk_B_rep01,29,290,290,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_290_spk_A_rep01,brir_theta_290_spk_A_rep01,29,290,290,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_290_spk_B_rep02,brir_theta_290_spk_B_rep02,29,290,290,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_290_spk_A_rep02,brir_theta_290_spk_A_rep02,29,290,290,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_300_spk_A_rep01,brir_theta_300_spk_A_rep01,30,300,300,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_300_spk_B_rep01,brir_theta_300_spk_B_rep01,30,300,300,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_300_spk_A_rep02,brir_theta_300_spk_A_rep02,30,300,300,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_300_spk_B_rep02,brir_theta_300_spk_B_rep02,30,300,300,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_310_spk_B_rep01,brir_theta_310_spk_B_rep01,31,310,310,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
